2023-01-15 23:07:00 INFO  ManageDriver :31 - Launching Chrome Browser
2023-01-15 23:23:47 INFO  ManageDriver :31 - Launching Chrome Browser
2023-01-15 23:25:17 INFO  ManageDriver :31 - Launching Chrome Browser
2023-01-15 23:31:14 INFO  ManageDriver :31 - Launching Chrome Browser
2023-01-15 23:32:45 INFO  ManageDriver :31 - Launching Chrome Browser
2023-01-15 23:42:14 INFO  ManageDriver :31 - Launching Chrome Browser
2023-01-15 23:46:44 INFO  ManageDriver :31 - Launching Chrome Browser
2023-01-15 23:49:34 INFO  ManageDriver :31 - Launching Chrome Browser
2023-01-15 23:50:47 INFO  ManageDriver :31 - Launching Chrome Browser
2023-01-16 00:00:55 INFO  ManageDriver :31 - Launching Chrome Browser
2023-01-16 00:01:35 INFO  ManageDriver :31 - Launching Chrome Browser
2023-01-16 00:06:41 INFO  ManageDriver :31 - Launching Chrome Browser
2023-01-16 00:06:45 INFO  LogInPage :33 - click On Accept Cookies[[ChromeDriver: chrome on WINDOWS (9fd5e82d9f1118bc33e16152921d5c3b)] -> xpath: /html[1]/body[1]/div[3]/div[1]/div[1]/div[1]/div[2]/label[1]]
2023-01-16 00:06:45 INFO  LogInPage :37 - click On Free Games[[ChromeDriver: chrome on WINDOWS (9fd5e82d9f1118bc33e16152921d5c3b)] -> xpath: //div[contains(@class,'-sc-v46bks')]//child::li[6]]
2023-01-16 00:06:45 INFO  LogInPage :41 - Get Text Message[[ChromeDriver: chrome on WINDOWS (9fd5e82d9f1118bc33e16152921d5c3b)] -> xpath: //h1[contains(text(),'Experience a Selection of Free Games')]]
2023-01-16 20:46:29 INFO  ManageDriver :31 - Launching Chrome Browser
2023-01-16 20:46:37 INFO  LogInPage :33 - click On Accept Cookies[[ChromeDriver: chrome on WINDOWS (91475de2581de6a46e25f1747b0b9d82)] -> xpath: /html[1]/body[1]/div[3]/div[1]/div[1]/div[1]/div[2]/label[1]]
2023-01-16 20:46:37 INFO  LogInPage :37 - click On Free Games[[ChromeDriver: chrome on WINDOWS (91475de2581de6a46e25f1747b0b9d82)] -> xpath: //div[contains(@class,'-sc-v46bks')]//child::li[6]]
2023-01-16 20:46:37 INFO  LogInPage :41 - Get Text Message[[ChromeDriver: chrome on WINDOWS (91475de2581de6a46e25f1747b0b9d82)] -> xpath: //h1[contains(text(),'Experience a Selection of Free Games')]]
